operator,name,description,code_block
"ea8a","First Improvement and Optimal Configuration","Performs first-improvement local search by shuffling single-parameter neighbors of the current configuration and updating immediately upon finding a better-performing neighbor to retain efficiency.","neighbors = []; for i, param in enumerate(inner_param_names): current_value = current_config[i]; for value in hyperparameters[param]: if value != current_value: neighbor = current_config.copy(); neighbor[i] = value; neighbors.append(neighbor); random.shuffle(neighbors); improved = False; for neighbor in neighbors: ini_consecutive_no_improve = consecutive_no_improve; ini_used_budget = used_budget; used_budget, consecutive_no_improve, history_configs, best_result, score, similar_config = evaluate(used_budget, consecutive_no_improve, history_configs, best_result, neighbor); if used_budget >= budget or consecutive_no_improve >= maxlives: break; if ini_consecutive_no_improve == consecutive_no_improve - 1 and ini_used_budget == used_budget: continue; if score == best_result: improved = True; current_config = neighbor; break"
"eb3c","Single-Dimensional Neighborhood","Generates a complete set of single-parameter neighborhood configurations by varying one parameter at a time (keeping others fixed) and collecting valid, differing configurations.","neighbors = []; inner_param_names = list(hyperparameters.keys()); for i, param in enumerate(inner_param_names): current_value = current_config[i]; for value in hyperparameters[param]: if value != current_value: neighbor = current_config.copy(); neighbor[i] = value; neighbors.append(neighbor)"
"eb4a","Multiple Single-Dimensional Perturbations","Generates perturbed configurations by performing 3 random single-parameter perturbations on local optima, making incremental changes to facilitate further exploration.","s = 3; k = len(param_names); perturbed_config = current_config.copy(); for _ in range(s): param_idx = random.randint(0, k - 1); param = param_names[param_idx]; current_value = perturbed_config[param_idx]; possible_values = [v for v in hyperparameters[param] if v != current_value]; if possible_values: perturbed_config[param_idx] = random.choice(possible_values)"
"d13a","Convergence Judgment Soft Restart and Probability Skewing","Judges premature convergence via average pairwise candidate distance (resetting sampling to uniform if converged) and skews sampling probabilities toward elite configurations to balance exploration and exploitation.","restart_threshold = 1e-4; N_iter = max(2, int(np.floor(2 + np.log2(D)))); if len(new_candidates) >= 2: distances = []; for i in range(len(new_candidates)): for j in range(i + 1, len(new_candidates)): max_dist = 0; for k in range(D): dist = 0 if new_candidates[i][k] == new_candidates[j][k] else 1; max_dist = max(max_dist, dist); distances.append(max_dist); if np.mean(distances) < restart_threshold: for i in range(D): n = len(sampling_distributions[i]['values']); sampling_distributions[i]['probs'] = [1 / n for _ in range(n)]; # Probability skewing toward elite if elite_generated: for i in range(D): dist = sampling_distributions[i]; elite_values = [cfg[i] for cfg in elite_generated]; counts = [elite_values.count(v) for v in dist['values']]; total = sum(counts); if total == 0: continue; new_probs = [(1 - (len(elite_generated) - 1) / N_iter) * p + (len(elite_generated) - 1) / N_iter * (count / total) for p, count in zip(dist['probs'], counts)]; new_probs_np = np.array(new_probs); new_probs_np /= new_probs_np.sum(); sampling_distributions[i]['probs'] = new_probs_np.tolist()"
"ee14a","Sampling Based on Sampling Distribution","Generates valid candidates by sampling each parameter from its skewed enumeration distribution (initial uniform), with sample count dynamically adjusted to remaining budget (min 10).","D = len(independent_set); sampling_distributions = []; for param_values in independent_set: n = len(param_values); sampling_distributions.append({'type': 'enumerate', 'probs': [1 / n for _ in range(n)], 'values': param_values}); new_candidates = []; sample_num = min(10, budget-used_budget); for _ in range(sample_num): config = []; for i in range(D): dist = sampling_distributions[i]; config.append(np.random.choice(dist['values'], p=dist['probs'])); new_candidates.append(config)"
"f5a","Statistical Test for Elite Configuration Screening","Screens elite configurations using Friedman chi-square test (α=0.05), retaining candidates with ranks below the 80th percentile and truncating to a minimum elite size (N_min=2).","from scipy.stats import friedmanchisquare; alpha = 0.05; N_min = 2; if len(configs) > N_min: max_len = max(len(p) for p in performances); padded_performances = [p + [np.nan] * (max_len - len(p)) for p in performances]; perf_matrix = np.array(padded_performances).T; try: valid_cols = ~np.isnan(perf_matrix).any(axis=0); valid_perf_matrix = perf_matrix[:, valid_cols]; stat, p_value = friedmanchisquare(*valid_perf_matrix); except ValueError: stat, p_value = 0, 1.0; if p_value < alpha: avg_ranks = np.mean([np.argsort(np.argsort(perf)) for perf in valid_perf_matrix], axis=0); threshold = np.percentile(avg_ranks, 80); valid_generated = [cfg for cfg, valid in zip(generated_cfg_for_test, valid_cols) if valid]; survivors_generated = [cfg for cfg, rank in zip(valid_generated, avg_ranks) if rank <= threshold]; elite_generated = survivors_generated[:N_min]"
"d12a","Arm Weight Update","Dynamically updates super arm (parameter) and sub arm (parameter value) weights in HABO via reward-based exponential updates (EXP3-style) to balance exploration and exploitation.","gamma = 0.1; score_min = min([v for v in history_configs.values()] + [current_score]); score_max = max([v for v in history_configs.values()] + [current_score]); if score_max == score_min: reward = 0.5; else: reward = (score_max - current_score) / (score_max - score_min); total_super_weight = sum(super_weights.values()); super_prob = (1 - gamma) * (super_weights[selected_super_arm] / total_super_weight) + gamma / k; exp_super = min(gamma * reward / (k * super_prob), 709); super_weights[selected_super_arm] *= np.exp(exp_super); total_sub_weight_update = sum(sub_weights[selected_super_arm].values()); sub_prob = sub_weights[selected_super_arm][selected_sub_arm] / total_sub_weight_update; exp_sub = min(gamma * reward / sub_prob, 709); sub_weights[selected_super_arm][selected_sub_arm] *= np.exp(exp_sub)"
"ee13a","EXP3 for Parameter Selection and Roulette for Value Selection","Selects parameters (super arms) via EXP3 with gamma regularization and parameter values (sub arms) via roulette wheel sampling (weighted by sub arm weights).","k = len(super_arms); gamma = 0.1; total_weight = sum(super_weights.values()); probabilities = {arm: (1 - gamma) * (weight / total_weight) + gamma / k for arm, weight in super_weights.items()}; arms = list(probabilities.keys()); probs = list(probabilities.values()); selected_super_arm = np.random.choice(arms, p=probs); sub_arms = hyperparameters[selected_super_arm]; sub_weight_dict = sub_weights[selected_super_arm]; total_sub_weight = sum(sub_weight_dict.values()); if total_sub_weight == 0: selected_sub_arm = np.random.choice(sub_arms); else: if np.isinf(total_sub_weight): valid_weights = {k: v for k, v in sub_weight_dict.items() if not np.isinf(v)}; if valid_weights: selected_sub_arm = max(valid_weights, key=valid_weights.get); else: selected_sub_arm = np.random.choice(sub_arms); else: sub_probabilities = {sub_arm: weight / total_sub_weight for sub_arm, weight in sub_weight_dict.items()}; sub_arms_list = list(sub_probabilities.keys()); sub_probs = list(sub_probabilities.values()); selected_sub_arm = np.random.choice(sub_arms_list, p=sub_probs)"
"d11a","Population Remove High-Age Individuals","Maintains population quality by eliminating individuals aged over 3, incrementing remaining individuals' ages, merging with offspring, and truncating to fixed population size if needed.","for ind in population: ind['age'] += 1; population = [ind for ind in population if ind['age'] <= 3]; population.extend(offspring); if len(population) > population_size: population = random.sample(population, population_size)"
"ea7a","High-Performance C and Random N","Selects parents by pairing top 10% high-performance C-gender individuals with random N-gender individuals (generating N-gender if none exist) to produce quality offspring.","competitive = [ind for ind in population if ind['gender'] == 'C' and ind['score'] is not None]; if not competitive: population = [{'config': [random.choice(values) for values in independent_set], 'gender': random.choice(['C', 'N']), 'age': 0, 'score': None} for _ in range(population_size)]; competitive.sort(key=lambda x: x['score']); num_mating = max(1, int(len(competitive) * 0.1)); mating_c = competitive[:num_mating]; non_competitive = [ind for ind in population if ind['gender'] == 'N']; if not non_competitive: non_competitive = [{'config': [random.choice(values) for values in independent_set], 'gender': 'N', 'age': 0, 'score': None} for _ in range(population_size // 2)]; num_n_per_c = max(1, int(len(non_competitive) * (200 / 3) / 100)); for c in mating_c: for n in random.sample(non_competitive, num_n_per_c): # Proceed to crossover"
"eb2d","Probabilistic Mutation","Performs probabilistic mutation on offspring at a 0.1 rate, replacing parameter values with random valid alternatives (if available) to introduce genetic diversity.","mutation_rate = 0.1; for i in range(len(child_config)): if random.random() < mutation_rate: values = independent_set[i]; other_values = [v for v in values if v != child_config[i]]; if other_values: child_config[i] = random.choice(other_values)"
"ec4a","Two-Gender Crossover","Generates child configurations via single-point crossover between C-gender (high-performance) and N-gender (diverse) parents, fusing their configuration segments.","crossover_point = random.randint(1, len(c['config']) - 1); child_config = c['config'][:crossover_point] + n['config'][crossover_point:]"
"a5a","GGA Population Data Structure","A structured GGA population consisting of individual dictionaries (config, gender, age, score), with initial individuals randomly generated and updated via evaluation, mating, and aging.","population_size = min(100,budget//2); population = [{'config': [random.choice(values) for values in independent_set], 'gender': random.choice(['C', 'N']), 'age': random.randint(0, 3), 'score': None} for _ in range(population_size)]"
"b1g","Gaussian Process","Constructs a Gaussian Process surrogate model with Matern (nu=2.5) and WhiteKernel (10 optimizer restarts) to predict configuration performance and uncertainty for acquisition function calculations.","from sklearn.gaussian_process import GaussianProcessRegressor; from sklearn.gaussian_process.kernels import Matern, WhiteKernel; gp_kernel = Matern(nu=2.5, length_scale_bounds=(1e-5, 1e6)) + WhiteKernel(noise_level=1.0, noise_level_bounds=(1e-10, 1000.0)); gp = GaussianProcessRegressor(kernel=gp_kernel, n_restarts_optimizer=10, random_state=seed); X_train = np.array([[independent_set[i].index(v) for i, v in enumerate(config)] for config in xs]); y_train = np.array(results); gp.fit(X_train, y_train); mu, std = gp.predict(X_candidates, return_std=True)"
"ed4a","Random Forest MDA","Evaluates parameter importance via Random Forest Mean Decrease Accuracy (MDA), selecting parameters with importance above 5% of the maximum as high-impact parameters.","from sklearn.ensemble import RandomForestRegressor; rf = RandomForestRegressor(n_estimators=100, random_state=seed, oob_score=True); X = np.array([[independent_set[i].index(v) for i, v in enumerate(sample)] for sample in samples_rf]); y = np.array(scores_rf); rf.fit(X, y); oob_base = rf.oob_score_; importances = []; for i in range(X.shape[1]): X_perm = X.copy(); np.random.shuffle(X_perm[:, i]); oob_perm = rf.oob_score_; importances.append(oob_base - oob_perm); threshold = 0.05 * max(importances) if importances else 0; high_impact = [i for i, imp in enumerate(importances) if imp >= threshold]"
"ee10a","Enhanced LHS Sampling","Generates uniform candidate configurations via maximin LHS (pyDOE2) for high-impact parameters, mapping continuous samples to discrete valid parameter values.","from pyDOE2 import lhs; param_indices_candidate = high_impact; param_ranges_candidate = [independent_set[i] for i in param_indices_candidate]; n_high_impact_params_candidate = len(param_indices_candidate); num_samples_candidate = 100; lhs_continuous_candidate = lhs(n_high_impact_params_candidate, samples=num_samples_candidate, criterion='maximin', random_state=seed); high_impact_param_enc_ranges_candidate = [(0, len(vals) - 1) for vals in param_ranges_candidate]; lhs_encoded_candidate = np.zeros((num_samples_candidate, n_high_impact_params_candidate), dtype=np.int64); for param_idx_in_high_impact_c in range(n_high_impact_params_candidate): min_enc_c, max_enc_c = high_impact_param_enc_ranges_candidate[param_idx_in_high_impact_c]; lhs_encoded_candidate[:, param_idx_in_high_impact_c] = np.round(lhs_continuous_candidate[:, param_idx_in_high_impact_c] * (max_enc_c - min_enc_c) + min_enc_c); lhs_encoded_candidate[:, param_idx_in_high_impact_c] = np.clip(lhs_encoded_candidate[:, param_idx_in_high_impact_c], min_enc_c, max_enc_c); candidates_original = []; for sample_encoded_c in lhs_encoded_candidate: current_sample_c = []; for idx_in_high_impact_c, enc_val_c in enumerate(sample_encoded_c): discrete_vals_c = param_ranges_candidate[idx_in_high_impact_c]; current_discrete_val_c = discrete_vals_c[enc_val_c]; current_sample_c.append(current_discrete_val_c); candidates_original.append(current_sample_c)"
"f3a","Hedge Selects Maximum EI/PI/LCB","Dynamically selects the optimal acquisition function (EI/PI/LCB) via Hedge strategy, picks the maximum score candidate, and updates Hedge weights based on actual performance gain.","from scipy.stats import norm; best_y = np.min(y_train); xi = 0.01; kappa = 1.96; imp = best_y - mu - xi; Z = imp / (std + 1e-9); ei = imp * norm.cdf(Z) + std * norm.pdf(Z); pi = norm.cdf((best_y - mu - xi) / (std + 1e-9)); lcb = mu - kappa * std; af_values = {'ei': ei, 'pi': pi, 'lcb': lcb}; total_weight = sum(hedge_weights.values()) + 1e-10; probs = {k: v / total_weight for k, v in hedge_weights.items()}; probs_arr = np.array(list(probs.values())); probs_arr = probs_arr / probs_arr.sum(); af_keys = list(af_values.keys()); selected_af = np.random.choice(af_keys, p=probs_arr); af_scores = af_values[selected_af]; best_candidate_idx = np.argmax(af_scores); next_original_config = candidates_original[best_candidate_idx]; current_best = min(y_train) if len(y_train) > 0 else float('inf'); gain = current_best - next_score; cumulative_gains[selected_af] = max(-1.0, min(1.0, gain)); learning_rate = 0.1; for af in hedge_weights: hedge_weights[af] = max(1e-5, hedge_weights[af] * np.exp(learning_rate * cumulative_gains[af]))"
"b1f","Gaussian Process","Constructs a Gaussian Process surrogate model with Matern (nu=2.5) and WhiteKernel, training on full or sampled data (for large high-dimensional data) to predict performance and uncertainty.","from sklearn.gaussian_process import GaussianProcessRegressor; from sklearn.gaussian_process.kernels import Matern, WhiteKernel; from sklearn.model_selection import train_test_split; kernel = Matern(nu=2.5, length_scale_bounds=(1e-3, 1e3)) + WhiteKernel(noise_level_bounds=(1e-10, 1e1)); gp = GaussianProcessRegressor(kernel=kernel, n_restarts_optimizer=5); if len(X) > 20 and n_params > 10: _, X_sampled, _, y_sampled = train_test_split(X_norm, y, test_size=0.7, random_state=seed); gp.fit(X_sampled, y_sampled); else: gp.fit(X_norm, y); mu, std = gp.predict(X_candidate_norm, return_std=True)"
"ee9a","LHS Sampling","Generates initial uniform candidates via maximin LHS (pyDOE2), converting continuous samples to ordinal-encoded integers and inverse-transforming to valid configurations.","from pyDOE2 import lhs; from sklearn.preprocessing import OrdinalEncoder; lhs_continuous = lhs(n_params, samples=initial_samples, criterion='maximin', random_state=seed); lhs_encoded = np.zeros((initial_samples, n_params), dtype=np.int64); for param_idx in range(n_params): min_enc, max_enc = param_enc_ranges[param_idx]; lhs_encoded[:, param_idx] = np.round(lhs_continuous[:, param_idx] * (max_enc - min_enc) + min_enc); lhs_encoded[:, param_idx] = np.clip(lhs_encoded[:, param_idx], min_enc, max_enc); lhs_initial_candidates = encoder.inverse_transform(lhs_encoded).tolist(); current_candidate = lhs_initial_candidates[used_budget]"
"f1g","Maximum Expected Improvement (EI)","Selects the optimal candidate by calculating Maximum EI (xi=0.01) using Gaussian Process predictions, handling zero standard deviation and picking the highest EI candidate.","from scipy.stats import norm; xi = 0.01; mu_sample_opt = np.min(y); imp = mu - mu_sample_opt - xi; with np.errstate(divide='ignore'): Z = imp / std; ei = imp * norm.cdf(Z) + std * norm.pdf(Z); ei[std == 0.0] = 0.0; ei_values = ei; next_index = np.argmax(ei_values); current_candidate = candidates[next_index]"
"b1e","Gaussian Process","Constructs a Gaussian Process surrogate model with Matern (nu=2.5) (10 optimizer restarts) to predict configuration performance and uncertainty for Expected Improvement calculations.","from sklearn.gaussian_process import GaussianProcessRegressor; from sklearn.gaussian_process.kernels import Matern; kernel = Matern(nu=2.5); gp = GaussianProcessRegressor(kernel=kernel, n_restarts_optimizer=10); X_current = np.array([[independent_set[i].index(val) for i, val in enumerate(config)] for config in xs]); y_current = np.array(results); gp.fit(X_current, y_current); mu, std = gp.predict(X_candidates, return_std=True)"
