tuner,description
"Tuneful","Tuneful is a tuner that first performs two rounds of Simulated Annealing (SA) with Sobol sampling, gradually reducing the number of significant configuration dimensions via Random Forest feature importance (retaining 60% of top parameters, at least 5) to narrow the search space. Its core operation is ranking 100 random candidates generated from the significant parameter set using a Gaussian Process Regressor with Matern kernel (nu=2.5) combined with the Expected Improvement (EI) criterion, filling non-significant parameters with default values, iteratively evaluating the optimal candidates and updating the model."
"ACO","ACO is a tuner that first initializes a uniform pheromone matrix (initial value 1.0) for all configuration options and configures 10 ants to construct candidate configurations. Core operations are: ants sampling each configuration dimension based on weighted probabilities of pheromone levels (alpha=1.0) and fixed heuristic information (beta=2.0); updating the matrix via pheromone evaporation (rho=0.5) and deposition (proportional to Q=100.0 divided by configuration performance scores) to reward high-quality configuration options, and iteratively generating and evaluating ant-constructed candidates."
"BO","BO is a tuner that first generates 10 random candidate configurations, converts categorical configurations into numerical form using an Ordinal Encoder, and establishes an initial performance dataset. Its core operation is adopting a Gaussian Process Regressor combining Matern kernel (nu=2.5) and White Kernel, optionally sampling training data to improve efficiency when the dataset size and parameter count are large; ranking unique random candidates based on the Expected Improvement (EI) criterion with an exploration parameter (xi=0.01), and iteratively evaluating the optimal candidates and updating the configuration history."
"CMAES","CMAES is a tuner that first initializes a CMA Evolution Strategy (initial mean 0.5, initial sigma 0.3, population size 4). Its core operation is mapping continuous solutions generated by CMA-ES to discrete configuration values via modular arithmetic to obtain valid candidates; generating candidates via the CMA-ES `ask` method, and updating the distribution via the `tell` method (only when the full population is evaluated) using valid configurations and their performance scores for iterative configuration optimization."
"DE","DE is a tuner that first initializes a population of 10 random configurations, establishes initial performance scores and an optimal baseline after evaluation, and retains only valid non-redundant configurations. Its core operation is generating trial configurations via mutation (replacing each parameter with other valid values) and crossover (crossover rate CR=0.7); replacing parent configurations if trial configurations show better performance, and realizing population evolution through iterative mutation, crossover and selection."
"ES","ES is a tuner that first initializes a population of 10 random configurations, establishes initial performance scores and an optimal baseline after evaluation. Its core operation is selecting the top 50% of best-performing configurations as parents; generating offspring configurations via mutation (20% probability of replacing parent parameters with random valid values); retaining offspring and removing the worst-performing individuals in the population to maintain a fixed population size, and iteratively executing selection, mutation and population pruning."
"GA","GA is a tuner that first initializes a population of 10 random configurations (fixed mutation rate 0.3), and obtains fitness scores (inverted performance scores to prioritize high-quality configurations) after evaluating each individual. Its core operation is selecting parents via roulette wheel selection (based on fitness probabilities); generating offspring configurations via single-point crossover; performing random mutation on all configurations of the next generation, maintaining a fixed population size, and realizing population evolution through iterative selection, crossover and mutation."
"HillClimbing","HillClimbing is a tuner that first initializes a single random configuration, establishes an initial current score and optimal performance baseline after evaluation. Its core operation is iteratively generating neighbor configurations (randomly modifying a single configuration parameter to other valid values); adopting a greedy strategy that accepts neighbor configurations only when they show better performance (lower scores), with no mechanism to backtrack to worse configurations, and continuously performing local search."
"PSO","PSO is a tuner that first initializes a population of 10 particles (random configurations), sets the initial position, personal best position/score and global best configuration of particles after evaluation, with initial particle velocity set to 0. Its core operation is updating particle positions via probabilistic selection (30% chance to select personal best, 20% for global best, 50% for random sampling), replacing the traditional continuous velocity update; updating personal and global bests when performance improves, and iteratively optimizing with a fixed population size."
"RandomSearch","RandomSearch is a tuner whose core operation is randomly selecting a valid value for each configuration dimension in each iteration to generate completely random candidate configurations; it has no guidance mechanism relying on historical data or predictive modeling, and only updates the optimal performance record by evaluating random configurations."
"SA","SA is a tuner that first initializes a single random configuration, establishes an initial current score and optimal baseline after evaluation, with an initial temperature of 200 that decays quadratically to a final temperature of 0.01 based on the used budget. Its core operation is iteratively generating neighbor configurations (randomly modifying a single configuration parameter); greedily accepting better configurations and probabilistically accepting worse configurations based on the Boltzmann distribution (depending on temperature and performance difference), balancing exploration and exploitation through temperature decay, and performing stochastic local search."
"BOHB","BOHB is a tuner that first defines a custom Worker class to map categorical configurations to ConfigurationSpace, handles NumPy type serialization to support inter-process communication; initializes a local NameServer and background Worker, and configures the BOHB optimizer (minimum/maximum budget both set to 1). Its core operation is iteratively running BOHB for single iterations to generate candidate configurations, obtaining unprocessed configurations from the Worker's task history, updating optimal performance after evaluation, and finally shutting down the optimizer, Worker and NameServer cleanly."
"DEHB","DEHB is a tuner that first constructs a ConfigurationSpace of categorical parameters corresponding to each configuration dimension, initializes the DEHB optimizer (fidelity range 1-2, eta=3, single worker node, specified log output path). Its core operation is adopting an `ask-tell` loop: obtaining candidate configurations via the `ask` method, evaluating them after converting to parameter lists, feeding back performance scores and consumed costs via the `tell` method to update the optimizer's internal state, and iteratively optimizing configurations."
"GGA","GGA is a tuner that first initializes a configuration population (maximum size of 100 or half the budget), with each individual assigned a gender (C=competitive/N=non-competitive), age (0-3) and unassigned score. Its core operation is evaluating only competitive individuals without scores, selecting the top 10% of high-performance competitive individuals as mating candidates; generating offspring via single-point crossover (between competitive candidates and non-competitive individuals) and mutation (10% mutation rate); increasing the age of each individual per round, pruning individuals over 3 years old, supplementing offspring to maintain population size and resetting scores."
"HABO","HABO is a tuner that first constructs configurations into a two-level hierarchical structure (super arms = configuration dimensions, sub arms = valid values of each dimension), initializes uniform weights for all super arms and sub arms, and sets the exploration parameter gamma=0.1. Its core operation is selecting super arms and corresponding sub arms via weighted sampling, filling unselected super arms with default values to complete configurations; obtaining rewards based on historical score normalization, adjusting the weights of super arms and sub arms via exponential updates (limiting exponential values to avoid overflow), and iteratively optimizing the sampling strategy."
"HEBO","HEBO is a tuner that first constructs a categorical DesignSpace based on configuration dimensions, initializes the HEBO optimizer (no pre-random sampling); collects up to 10 (or half the budget) initial samples via space sampling to establish a baseline dataset. Its core operation is passing initial samples and performance into the optimizer via the `observe` method; iteratively executing the process of `generating candidates via the suggest method - evaluating configurations - updating data via the observe method`, and optimizing configurations using HEBO's advanced Bayesian optimization capabilities."
"Hyperband","Hyperband is a tuner that first defines a custom Worker class to map categorical configurations to ConfigurationSpace and handles NumPy type serialization; initializes a local NameServer and background Worker, and configures the HyperBand optimizer (minimum/maximum budget both set to 1). Its core operation is iteratively running HyperBand for single iterations to generate candidate configurations, tracking processed tasks to avoid repeated evaluation, obtaining unprocessed configurations from the Worker's task history and evaluating them, updating optimal performance, and finally shutting down the optimizer, Worker and NameServer cleanly."
"irace","irace is a tuner that first initializes uniform sampling distributions for all configuration dimensions, and sets key parameters (maximum iterations based on log2 of configuration dimensions, minimum number of elite configurations N_min=2, significance level alpha=0.05, distribution restart threshold 1e-4). Its core operation is weighted sampling of up to 10 candidates from the current distribution, evaluating them together with elite configurations; selecting top N_min elite configurations, updating the sampling distribution by integrating prior probabilities and elite configuration frequencies; resetting to uniform distribution when candidate diversity is too low, and optionally filtering the top 80% of high-quality configurations via Friedman chi-square test (when p<alpha)."
"ParamILS","ParamILS is a tuner that first initializes 10 random configurations (r=10), and establishes an initial optimal configuration and performance baseline after evaluation. Its core operation is two-phase iteration: the local search phase generates all single-parameter neighbors of the current optimal configuration, randomly shuffles them and evaluates greedily, terminating this phase when no improvement is achieved; the perturbation phase randomly modifies 3 parameters (s=3) to generate new configurations and evaluates them, performing random restart (generating a completely new random configuration) with a 1% probability (p_restart=0.01), and repeating the two-phase optimization."
"SMAC","SMAC is a tuner that first initializes a single random configuration, converts categorical configurations into parameter index features after evaluation, and establishes an initial performance baseline. Its core operation is training a Random Forest Regressor with 10 trees (n_jobs=-1) when the data volume is ≥2, performing scaling/log transformation on performance scores to optimize model fitting; generating 1000 random candidates, calculating Expected Improvement (EI) based on the mean and standard deviation of Random Forest predictions and ranking them (random assignment when no model is available); evaluating the optimal candidates, updating the historical dataset and current optimal configuration (incumbent score)."
"UQGuided","UQGuided is a tuner that first initializes up to 5 random candidates, and establishes an initial dataset containing configuration history and performance scores after evaluation. Core operations include: sorting candidates by performance, constructing a Gaussian distribution for each candidate (using fixed sigma=1 for less than 2 historical records, fitting mu and sigma via weighted linear regression for ≥2 historical records); calculating the joint probability of candidates being top-k performers, selecting the minimum k that meets the confidence threshold tau=0.9 and retaining the top k+1 candidates; perturbing parameters of retained candidates with a gamma=0.1 probability to generate new candidates, and iteratively expanding the candidate pool."
